cohort,event_category,count,percentage
7-month-olds,Toy_Only,1,11.11111111111111
7-month-olds,Man_Only,0,0.0
7-month-olds,Woman_Only,0,0.0
7-month-olds,Other,0,0.0
7-month-olds,Man_Toy,2,22.22222222222222
7-month-olds,Woman_Toy,0,0.0
7-month-olds,Woman_Man,0,0.0
7-month-olds,Full_Trifecta,6,66.66666666666666
8-month-olds,Toy_Only,0,0.0
8-month-olds,Man_Only,0,0.0
8-month-olds,Woman_Only,0,0.0
8-month-olds,Other,0,0.0
8-month-olds,Man_Toy,2,16.666666666666664
8-month-olds,Woman_Toy,1,8.333333333333332
8-month-olds,Woman_Man,0,0.0
8-month-olds,Full_Trifecta,9,75.0
9-month-olds,Toy_Only,0,0.0
9-month-olds,Man_Only,0,0.0
9-month-olds,Woman_Only,0,0.0
9-month-olds,Other,0,0.0
9-month-olds,Man_Toy,5,31.25
9-month-olds,Woman_Toy,0,0.0
9-month-olds,Woman_Man,1,6.25
9-month-olds,Full_Trifecta,10,62.5
10-month-olds,Toy_Only,0,0.0
10-month-olds,Man_Only,0,0.0
10-month-olds,Woman_Only,0,0.0
10-month-olds,Other,0,0.0
10-month-olds,Man_Toy,5,16.666666666666664
10-month-olds,Woman_Toy,0,0.0
10-month-olds,Woman_Man,3,10.0
10-month-olds,Full_Trifecta,22,73.33333333333333
11-month-olds,Toy_Only,0,0.0
11-month-olds,Man_Only,0,0.0
11-month-olds,Woman_Only,0,0.0
11-month-olds,Other,0,0.0
11-month-olds,Man_Toy,1,8.333333333333332
11-month-olds,Woman_Toy,0,0.0
11-month-olds,Woman_Man,0,0.0
11-month-olds,Full_Trifecta,11,91.66666666666666
Adults,Toy_Only,0,0.0
Adults,Man_Only,0,0.0
Adults,Woman_Only,0,0.0
Adults,Other,0,0.0
Adults,Man_Toy,3,7.6923076923076925
Adults,Woman_Toy,2,5.128205128205128
Adults,Woman_Man,2,5.128205128205128
Adults,Full_Trifecta,32,82.05128205128204
